,,"All values, costs, and indexes are in current dollars (nominals)",,,,,
BIRMINGHAM,1998Q1,"$125,304","$85,611","$39,693",31.7%,0.911,0.876
BIRMINGHAM,1998Q2,"$126,174","$86,860","$39,314",31.2%,0.917,0.870
BIRMINGHAM,1998Q3,"$127,419","$88,182","$39,237",30.8%,0.926,0.871
BIRMINGHAM,1998Q4,"$129,023","$89,406","$39,617",30.7%,0.938,0.881
BIRMINGHAM,1999Q1,"$130,647","$90,419","$40,228",30.8%,0.949,0.897
BIRMINGHAM,1999Q2,"$131,942","$91,182","$40,760",30.9%,0.959,0.910
BIRMINGHAM,1999Q3,"$133,235","$91,763","$41,471",31.1%,0.968,0.927
BIRMINGHAM,1999Q4,"$134,775","$92,211","$42,564",31.6%,0.979,0.952
BIRMINGHAM,2000Q1,"$136,129","$92,441","$43,688",32.1%,0.989,0.975
BIRMINGHAM,2000Q2,"$137,617","$92,843","$44,773",32.5%,1.000,1.000
BIRMINGHAM,2000Q3,"$138,350","$93,351","$44,998",32.5%,1.005,1.007
BIRMINGHAM,2000Q4,"$139,131","$94,034","$45,097",32.4%,1.011,1.012
BIRMINGHAM,2001Q1,"$140,101","$95,116","$44,985",32.1%,1.018,1.017
BIRMINGHAM,2001Q2,"$141,361","$96,132","$45,228",32.0%,1.027,1.025
BIRMINGHAM,2001Q3,"$142,088","$97,189","$44,899",31.6%,1.032,1.020
BIRMINGHAM,2001Q4,"$143,114","$98,221","$44,893",31.4%,1.040,1.021
BIRMINGHAM,2002Q1,"$144,697","$99,040","$45,657",31.6%,1.051,1.037
BIRMINGHAM,2002Q2,"$146,437","$99,885","$46,552",31.8%,1.064,1.058
BIRMINGHAM,2002Q3,"$148,143","$100,582","$47,561",32.1%,1.076,1.082
BIRMINGHAM,2002Q4,"$150,469","$101,081","$49,388",32.8%,1.093,1.126
BIRMINGHAM,2003Q1,"$151,926","$101,459","$50,468",33.2%,1.104,1.154
BIRMINGHAM,2003Q2,"$152,346","$101,817","$50,529",33.2%,1.107,1.158
BIRMINGHAM,2003Q3,"$155,007","$102,556","$52,451",33.8%,1.126,1.204
BIRMINGHAM,2003Q4,"$156,670","$104,000","$52,670",33.6%,1.138,1.210
BIRMINGHAM,2004Q1,"$159,272","$106,319","$52,953",33.2%,1.157,1.217
BIRMINGHAM,2004Q2,"$161,554","$109,249","$52,305",32.4%,1.174,1.204
BIRMINGHAM,2004Q3,"$164,682","$112,298","$52,384",31.8%,1.197,1.207
BIRMINGHAM,2004Q4,"$167,011","$114,999","$52,012",31.1%,1.214,1.200
BIRMINGHAM,2005Q1,"$169,284","$117,014","$52,270",30.9%,1.230,1.207
BIRMINGHAM,2005Q2,"$172,721","$118,649","$54,073",31.3%,1.255,1.251
BIRMINGHAM,2005Q3,"$175,598","$120,289","$55,309",31.5%,1.276,1.281
BIRMINGHAM,2005Q4,"$179,299","$122,341","$56,958",31.8%,1.303,1.322
BIRMINGHAM,2006Q1,"$182,748","$125,080","$57,667",31.6%,1.328,1.342
BIRMINGHAM,2006Q2,"$184,544","$128,087","$56,458",30.6%,1.341,1.316
BIRMINGHAM,2006Q3,"$185,973","$130,869","$55,104",29.6%,1.351,1.287
BIRMINGHAM,2006Q4,"$187,250","$132,913","$54,336",29.0%,1.361,1.272
BIRMINGHAM,2007Q1,"$187,941","$133,924","$54,017",28.7%,1.366,1.267
BIRMINGHAM,2007Q2,"$188,049","$134,362","$53,687",28.5%,1.366,1.262
BIRMINGHAM,2007Q3,"$186,915","$134,947","$51,968",27.8%,1.358,1.223
BIRMINGHAM,2007Q4,"$184,859","$136,384","$48,475",26.2%,1.343,1.143
BIRMINGHAM,2008Q1,"$183,936","$139,130","$44,806",24.4%,1.337,1.058
BIRMINGHAM,2008Q2,"$183,035","$142,536","$40,498",22.1%,1.330,0.958
BIRMINGHAM,2008Q3,"$181,378","$145,730","$35,649",19.7%,1.318,0.844
BIRMINGHAM,2008Q4,"$176,681","$147,824","$28,857",16.3%,1.284,0.684
BIRMINGHAM,2009Q1,"$173,671","$148,216","$25,455",14.7%,1.262,0.603
BIRMINGHAM,2009Q2,"$171,421","$147,374","$24,047",14.0%,1.246,0.570
BIRMINGHAM,2009Q3,"$170,256","$146,057","$24,199",14.2%,1.237,0.574
BIRMINGHAM,2009Q4,"$171,232","$145,017","$26,215",15.3%,1.244,0.621
BIRMINGHAM,2010Q1,"$168,306","$144,790","$23,517",14.0%,1.223,0.556
BIRMINGHAM,2010Q2,"$164,406","$145,418","$18,988",11.5%,1.195,0.449
BIRMINGHAM,2010Q3,"$161,240","$146,590","$14,650",9.1%,1.172,0.346
BIRMINGHAM,2010Q4,"$159,203","$148,050","$11,152",7.0%,1.157,0.264
BIRMINGHAM,2011Q1,"$157,447","$149,573","$7,874",5.0%,1.144,0.186
BIRMINGHAM,2011Q2,"$156,219","$148,408","$7,811",5.0%,1.135,0.185
BIRMINGHAM,2011Q3,"$155,064","$147,311","$7,753",5.0%,1.127,0.183
BIRMINGHAM,2011Q4,"$153,937","$146,240","$7,697",5.0%,1.119,0.182
BIRMINGHAM,2012Q1,"$154,903","$147,143","$7,760",5.0%,1.126,0.184
BIRMINGHAM,2012Q2,"$156,842","$147,950","$8,891",5.7%,1.140,0.210
BIRMINGHAM,2012Q3,"$157,404","$148,811","$8,592",5.5%,1.144,0.203
BIRMINGHAM,2012Q4,"$159,215","$149,883","$9,332",5.9%,1.157,0.221
BIRMINGHAM,2013Q1,"$161,272","$151,269","$10,003",6.2%,1.172,0.237
BIRMINGHAM,2013Q2,"$163,985","$152,852","$11,132",6.8%,1.192,0.264
BIRMINGHAM,2013Q3,"$166,634","$154,472","$12,163",7.3%,1.211,0.289
BIRMINGHAM,2013Q4,"$168,409","$155,963","$12,446",7.4%,1.224,0.295
BIRMINGHAM,2014Q1,"$170,762","$157,197","$13,565",7.9%,1.241,0.322
BIRMINGHAM,2014Q2,"$171,597","$158,215","$13,382",7.8%,1.247,0.318
BIRMINGHAM,2014Q3,"$173,191","$159,081","$14,110",8.1%,1.259,0.335
BIRMINGHAM,2014Q4,"$174,986","$159,867","$15,119",8.6%,1.272,0.359
BIRMINGHAM,2015Q1,"$176,924","$160,590","$16,334",9.2%,1.286,0.388
BIRMINGHAM,2015Q2,"$178,203","$161,095","$17,108",9.6%,1.295,0.407
BIRMINGHAM,2015Q3,"$179,726","$161,166","$18,560",10.3%,1.306,0.441
BIRMINGHAM,2015Q4,"$181,486","$160,593","$20,894",11.5%,1.319,0.497
BIRMINGHAM,2016Q1,"$183,509","$159,300","$24,210",13.2%,1.333,0.577
BIRMINGHAM,2016Q2,"$186,285","$157,564","$28,721",15.4%,1.354,0.685
BIRMINGHAM,2016Q3,"$189,712","$155,854","$33,858",17.8%,1.379,0.808
BIRMINGHAM,2016Q4,"$191,863","$154,615","$37,248",19.4%,1.394,0.889
BIRMINGHAM,2017Q1,"$193,853","$154,131","$39,722",20.5%,1.409,0.947
BIRMINGHAM,2017Q2,"$196,901","$154,399","$42,502",21.6%,1.431,1.013
BIRMINGHAM,2017Q3,"$197,492","$155,139","$42,353",21.4%,1.435,1.009
BIRMINGHAM,2017Q4,"$201,237","$156,119","$45,118",22.4%,1.462,1.076
BIRMINGHAM,2018Q1,"$204,558","$158,609","$45,949",22.5%,1.486,1.096
BIRMINGHAM,2018Q2,"$208,223","$161,230","$46,993",22.6%,1.513,1.121
BOSTON,1984Q4,"$134,041","$66,239","$67,803",50.6%,0.409,0.291
BOSTON,1985Q1,"$142,453","$67,053","$75,400",52.9%,0.434,0.325
BOSTON,1985Q2,"$153,185","$67,699","$85,486",55.8%,0.467,0.369
BOSTON,1985Q3,"$164,041","$68,249","$95,792",58.4%,0.500,0.414
BOSTON,1985Q4,"$175,331","$68,745","$106,586",60.8%,0.535,0.462
BOSTON,1986Q1,"$185,577","$69,227","$116,349",62.7%,0.566,0.505
BOSTON,1986Q2,"$194,298","$69,752","$124,546",64.1%,0.592,0.542
BOSTON,1986Q3,"$203,387","$70,375","$133,012",65.4%,0.620,0.579
BOSTON,1986Q4,"$211,816","$71,155","$140,661",66.4%,0.646,0.613
BOSTON,1987Q1,"$218,432","$72,003","$146,430",67.0%,0.666,0.639
BOSTON,1987Q2,"$222,173","$73,158","$149,015",67.1%,0.677,0.651
BOSTON,1987Q3,"$226,234","$74,426","$151,808",67.1%,0.690,0.664
BOSTON,1987Q4,"$229,820","$75,732","$154,088",67.0%,0.701,0.675
BOSTON,1988Q1,"$230,562","$77,105","$153,457",66.6%,0.703,0.674
BOSTON,1988Q2,"$231,190","$78,304","$152,886",66.1%,0.705,0.673
BOSTON,1988Q3,"$231,438","$79,422","$152,015",65.7%,0.706,0.671
BOSTON,1988Q4,"$230,778","$80,457","$150,321",65.1%,0.704,0.664
BOSTON,1989Q1,"$232,118","$81,623","$150,495",64.8%,0.708,0.667
BOSTON,1989Q2,"$231,819","$82,463","$149,356",64.4%,0.707,0.663
BOSTON,1989Q3,"$227,367","$83,223","$144,145",63.4%,0.693,0.640
BOSTON,1989Q4,"$225,389","$83,950","$141,439",62.8%,0.687,0.628
BOSTON,1990Q1,"$224,822","$84,428","$140,394",62.4%,0.685,0.622
BOSTON,1990Q2,"$218,814","$85,199","$133,614",61.1%,0.667,0.591
BOSTON,1990Q3,"$213,177","$85,961","$127,216",59.7%,0.650,0.563
BOSTON,1990Q4,"$207,540","$86,651","$120,888",58.2%,0.633,0.535
BOSTON,1991Q1,"$200,450","$87,158","$113,292",56.5%,0.611,0.500
BOSTON,1991Q2,"$198,048","$87,679","$110,370",55.7%,0.604,0.488
BOSTON,1991Q3,"$198,121","$88,193","$109,928",55.5%,0.604,0.486
BOSTON,1991Q4,"$197,636","$88,748","$108,888",55.1%,0.603,0.481
BOSTON,1992Q1,"$196,760","$89,642","$107,118",54.4%,0.600,0.475
BOSTON,1992Q2,"$198,790","$90,257","$108,533",54.6%,0.606,0.482
BOSTON,1992Q3,"$197,667","$90,839","$106,828",54.0%,0.603,0.474
BOSTON,1992Q4,"$198,409","$91,380","$107,030",53.9%,0.605,0.475
BOSTON,1993Q1,"$200,573","$91,578","$108,995",54.3%,0.611,0.481
BOSTON,1993Q2,"$200,635","$92,150","$108,485",54.1%,0.612,0.478
BOSTON,1993Q3,"$203,119","$92,820","$110,298",54.3%,0.619,0.486
BOSTON,1993Q4,"$204,685","$93,607","$111,078",54.3%,0.624,0.490
BOSTON,1994Q1,"$207,509","$94,461","$113,047",54.5%,0.633,0.498
BOSTON,1994Q2,"$210,322","$95,402","$114,920",54.6%,0.641,0.507
BOSTON,1994Q3,"$211,147","$96,268","$114,879",54.4%,0.644,0.508
BOSTON,1994Q4,"$212,527","$96,943","$115,584",54.4%,0.648,0.512
BOSTON,1995Q1,"$213,249","$97,655","$115,594",54.2%,0.650,0.515
BOSTON,1995Q2,"$213,795","$97,851","$115,944",54.2%,0.652,0.518
BOSTON,1995Q3,"$216,258","$98,029","$118,229",54.7%,0.659,0.529
BOSTON,1995Q4,"$216,948","$98,386","$118,563",54.7%,0.661,0.531
BOSTON,1996Q1,"$219,535","$98,893","$120,642",55.0%,0.669,0.541
BOSTON,1996Q2,"$222,142","$99,818","$122,325",55.1%,0.677,0.549
BOSTON,1996Q3,"$225,059","$100,793","$124,266",55.2%,0.686,0.559
BOSTON,1996Q4,"$227,748","$101,616","$126,133",55.4%,0.694,0.568
BOSTON,1997Q1,"$231,737","$102,164","$129,573",55.9%,0.706,0.585
BOSTON,1997Q2,"$235,323","$102,515","$132,808",56.4%,0.717,0.601
BOSTON,1997Q3,"$238,322","$102,858","$135,464",56.8%,0.727,0.614
BOSTON,1997Q4,"$243,103","$103,372","$139,731",57.5%,0.741,0.635
BOSTON,1998Q1,"$249,029","$104,307","$144,722",58.1%,0.759,0.660
BOSTON,1998Q2,"$256,006","$105,330","$150,676",58.9%,0.780,0.689
BOSTON,1998Q3,"$263,786","$106,449","$157,338",59.6%,0.804,0.721
BOSTON,1998Q4,"$269,228","$107,544","$161,684",60.1%,0.821,0.742
BOSTON,1999Q1,"$279,368","$108,590","$170,778",61.1%,0.852,0.786
BOSTON,1999Q2,"$287,468","$109,433","$178,035",61.9%,0.876,0.820
BOSTON,1999Q3,"$297,165","$110,134","$187,031",62.9%,0.906,0.863
BOSTON,1999Q4,"$306,935","$110,698","$196,237",63.9%,0.936,0.906
BOSTON,2000Q1,"$314,788","$110,599","$204,189",64.9%,0.960,0.941
BOSTON,2000Q2,"$328,009","$111,203","$216,806",66.1%,1.000,1.000
BOSTON,2000Q3,"$340,510","$112,059","$228,451",67.1%,1.038,1.056
BOSTON,2000Q4,"$355,216","$113,263","$241,953",68.1%,1.083,1.121
BOSTON,2001Q1,"$371,828","$115,881","$255,947",68.8%,1.134,1.195
BOSTON,2001Q2,"$381,669","$117,507","$264,163",69.2%,1.164,1.236
BOSTON,2001Q3,"$392,315","$119,068","$273,247",69.6%,1.196,1.281
BOSTON,2001Q4,"$401,724","$120,499","$281,225",70.0%,1.225,1.320
BOSTON,2002Q1,"$408,185","$121,138","$287,047",70.3%,1.244,1.345
BOSTON,2002Q2,"$422,499","$122,308","$300,192",71.1%,1.288,1.407
BOSTON,2002Q3,"$440,090","$123,329","$316,762",72.0%,1.342,1.485
BOSTON,2002Q4,"$454,590","$124,106","$330,484",72.7%,1.386,1.550
BOSTON,2003Q1,"$462,907","$124,807","$338,100",73.0%,1.411,1.588
BOSTON,2003Q2,"$469,821","$125,292","$344,529",73.3%,1.432,1.618
BOSTON,2003Q3,"$475,139","$126,127","$349,012",73.5%,1.449,1.639
BOSTON,2003Q4,"$487,320","$127,694","$359,626",73.8%,1.486,1.689
BOSTON,2004Q1,"$500,645","$130,036","$370,608",74.0%,1.526,1.739
BOSTON,2004Q2,"$514,464","$133,262","$381,202",74.1%,1.568,1.788
BOSTON,2004Q3,"$523,090","$136,702","$386,388",73.9%,1.595,1.812
BOSTON,2004Q4,"$535,281","$139,868","$395,413",73.9%,1.632,1.854
BOSTON,2005Q1,"$549,430","$142,294","$407,137",74.1%,1.675,1.908
BOSTON,2005Q2,"$557,809","$144,419","$413,390",74.1%,1.701,1.937
BOSTON,2005Q3,"$556,345","$146,425","$409,921",73.7%,1.696,1.921
BOSTON,2005Q4,"$557,798","$148,605","$409,194",73.4%,1.701,1.918
BOSTON,2006Q1,"$556,706","$151,052","$405,654",72.9%,1.697,1.901
BOSTON,2006Q2,"$550,471","$153,829","$396,642",72.1%,1.678,1.860
BOSTON,2006Q3,"$540,382","$156,550","$383,832",71.0%,1.647,1.801
BOSTON,2006Q4,"$532,736","$158,939","$373,797",70.2%,1.624,1.756
BOSTON,2007Q1,"$529,397","$161,077","$368,320",69.6%,1.614,1.734
BOSTON,2007Q2,"$527,944","$162,682","$365,261",69.2%,1.610,1.721
BOSTON,2007Q3,"$520,678","$164,403","$356,276",68.4%,1.587,1.681
BOSTON,2007Q4,"$515,165","$166,663","$348,502",67.6%,1.571,1.646
BOSTON,2008Q1,"$505,468","$169,763","$335,705",66.4%,1.541,1.588
BOSTON,2008Q2,"$496,821","$173,228","$323,593",65.1%,1.515,1.533
BOSTON,2008Q3,"$491,957","$176,568","$315,390",64.1%,1.500,1.495
BOSTON,2008Q4,"$480,518","$179,231","$301,287",62.7%,1.465,1.430
BOSTON,2009Q1,"$468,121","$180,920","$287,201",61.4%,1.427,1.365
BOSTON,2009Q2,"$462,515","$181,664","$280,851",60.7%,1.410,1.335
BOSTON,2009Q3,"$470,502","$181,948","$288,554",61.3%,1.434,1.373
BOSTON,2009Q4,"$476,159","$182,155","$294,005",61.7%,1.452,1.399
BOSTON,2010Q1,"$479,550","$181,866","$297,683",62.1%,1.462,1.413
BOSTON,2010Q2,"$482,507","$182,968","$299,539",62.1%,1.471,1.423
BOSTON,2010Q3,"$477,283","$184,730","$292,553",61.3%,1.455,1.393
BOSTON,2010Q4,"$473,779","$187,183","$286,595",60.5%,1.444,1.368
BOSTON,2011Q1,"$472,872","$191,086","$281,786",59.6%,1.442,1.353
BOSTON,2011Q2,"$466,606","$194,298","$272,308",58.4%,1.423,1.311
BOSTON,2011Q3,"$469,440","$197,307","$272,133",58.0%,1.431,1.314
BOSTON,2011Q4,"$466,008","$199,756","$266,252",57.1%,1.421,1.289
BOSTON,2012Q1,"$462,917","$201,232","$261,685",56.5%,1.411,1.269
BOSTON,2012Q2,"$465,761","$202,472","$263,289",56.5%,1.420,1.279
BOSTON,2012Q3,"$477,004","$203,635","$273,369",57.3%,1.454,1.331
BOSTON,2012Q4,"$477,849","$205,032","$272,817",57.1%,1.457,1.331
BOSTON,2013Q1,"$486,949","$207,084","$279,865",57.5%,1.485,1.369
BOSTON,2013Q2,"$499,717","$209,218","$290,500",58.1%,1.523,1.424
BOSTON,2013Q3,"$509,940","$211,250","$298,690",58.6%,1.555,1.467
BOSTON,2013Q4,"$522,812","$212,860","$309,952",59.3%,1.594,1.525
BOSTON,2014Q1,"$527,892","$213,691","$314,201",59.5%,1.609,1.547
BOSTON,2014Q2,"$539,599","$214,286","$325,313",60.3%,1.645,1.604
BOSTON,2014Q3,"$536,528","$214,847","$321,681",60.0%,1.636,1.588
BOSTON,2014Q4,"$543,567","$215,749","$327,818",60.3%,1.657,1.620
BOSTON,2015Q1,"$552,223","$217,057","$335,167",60.7%,1.684,1.657
BOSTON,2015Q2,"$552,038","$218,777","$333,260",60.4%,1.683,1.650
BOSTON,2015Q3,"$561,446","$220,311","$341,136",60.8%,1.712,1.691
BOSTON,2015Q4,"$568,650","$221,178","$347,472",61.1%,1.734,1.725
BOSTON,2016Q1,"$573,061","$221,450","$351,610",61.4%,1.747,1.750
BOSTON,2016Q2,"$581,295","$220,569","$360,726",62.1%,1.772,1.798
BOSTON,2016Q3,"$585,345","$219,437","$365,907",62.5%,1.785,1.825
BOSTON,2016Q4,"$599,009","$218,595","$380,414",63.5%,1.826,1.899
BOSTON,2017Q1,"$614,437","$217,975","$396,462",64.5%,1.873,1.977
BOSTON,2017Q2,"$618,013","$218,582","$399,430",64.6%,1.884,1.993
BOSTON,2017Q3,"$626,504","$219,723","$406,782",64.9%,1.910,2.031
BOSTON,2017Q4,"$635,964","$221,166","$414,799",65.2%,1.939,2.072
BOSTON,2018Q1,"$648,496","$225,054","$423,442",65.3%,1.977,2.117
BOSTON,2018Q2,"$661,378","$229,195","$432,183",65.3%,2.016,2.163
BUFFALO,1984Q4,"$66,490","$60,858","$5,631",8.5%,0.574,0.223
BUFFALO,1985Q1,"$67,440","$61,141","$6,299",9.3%,0.582,0.249
BUFFALO,1985Q2,"$68,364","$61,377","$6,987",10.2%,0.590,0.277
BUFFALO,1985Q3,"$69,886","$61,577","$8,309",11.9%,0.603,0.329
BUFFALO,1985Q4,"$70,582","$61,748","$8,834",12.5%,0.609,0.350
BUFFALO,1986Q1,"$71,954","$61,905","$10,049",14.0%,0.621,0.398
BUFFALO,1986Q2,"$72,853","$62,094","$10,759",14.8%,0.629,0.426
BUFFALO,1986Q3,"$73,656","$62,367","$11,289",15.3%,0.636,0.447
BUFFALO,1986Q4,"$75,771","$62,777","$12,995",17.1%,0.654,0.515
BUFFALO,1987Q1,"$77,824","$63,338","$14,486",18.6%,0.672,0.573
BUFFALO,1987Q2,"$80,531","$64,029","$16,502",20.5%,0.695,0.653
BUFFALO,1987Q3,"$83,264","$64,755","$18,509",22.2%,0.719,0.733
BUFFALO,1987Q4,"$85,567","$65,434","$20,132",23.5%,0.739,0.799
BUFFALO,1988Q1,"$87,240","$66,021","$21,219",24.3%,0.753,0.843
BUFFALO,1988Q2,"$89,560","$66,505","$23,055",25.7%,0.773,0.918
BUFFALO,1988Q3,"$92,014","$66,940","$25,074",27.3%,0.794,1.000
BUFFALO,1988Q4,"$94,264","$67,369","$26,895",28.5%,0.814,1.075
BUFFALO,1989Q1,"$96,776","$67,870","$28,906",29.9%,0.835,1.159
BUFFALO,1989Q2,"$99,263","$68,336","$30,927",31.2%,0.857,1.242
BUFFALO,1989Q3,"$101,382","$68,803","$32,579",32.1%,0.875,1.310
BUFFALO,1989Q4,"$103,810","$69,262","$34,548",33.3%,0.896,1.390
BUFFALO,1990Q1,"$105,816","$69,652","$36,164",34.2%,0.913,1.452
BUFFALO,1990Q2,"$106,861","$70,123","$36,738",34.4%,0.922,1.476
BUFFALO,1990Q3,"$107,535","$70,642","$36,893",34.3%,0.928,1.483
BUFFALO,1990Q4,"$107,889","$71,231","$36,658",34.0%,0.931,1.474
BUFFALO,1991Q1,"$108,997","$71,897","$37,100",34.0%,0.941,1.492
BUFFALO,1991Q2,"$109,263","$72,588","$36,674",33.6%,0.943,1.476
BUFFALO,1991Q3,"$109,687","$73,238","$36,449",33.2%,0.947,1.469
BUFFALO,1991Q4,"$109,956","$73,776","$36,179",32.9%,0.949,1.459
BUFFALO,1992Q1,"$111,244","$74,264","$36,980",33.2%,0.960,1.497
BUFFALO,1992Q2,"$112,117","$74,567","$37,549",33.5%,0.968,1.520
BUFFALO,1992Q3,"$112,401","$74,904","$37,497",33.4%,0.970,1.517
BUFFALO,1992Q4,"$113,786","$75,398","$38,388",33.7%,0.982,1.551
BUFFALO,1993Q1,"$113,363","$76,013","$37,350",32.9%,0.978,1.501
BUFFALO,1993Q2,"$113,410","$76,928","$36,482",32.2%,0.979,1.463
BUFFALO,1993Q3,"$113,630","$77,878","$35,753",31.5%,0.981,1.432
BUFFALO,1993Q4,"$113,674","$78,715","$34,959",30.8%,0.981,1.399
BUFFALO,1994Q1,"$114,215","$79,335","$34,879",30.5%,0.986,1.395
BUFFALO,1994Q2,"$114,673","$79,816","$34,857",30.4%,0.990,1.393
BUFFALO,1994Q3,"$115,084","$80,275","$34,810",30.2%,0.993,1.392
BUFFALO,1994Q4,"$114,717","$80,831","$33,886",29.5%,0.990,1.355
BUFFALO,1995Q1,"$114,424","$81,627","$32,797",28.7%,0.988,1.316
BUFFALO,1995Q2,"$113,720","$82,434","$31,286",27.5%,0.982,1.256
BUFFALO,1995Q3,"$113,089","$83,200","$29,889",26.4%,0.976,1.200
BUFFALO,1995Q4,"$113,137","$83,808","$29,329",25.9%,0.977,1.177
BUFFALO,1996Q1,"$113,605","$84,155","$29,450",25.9%,0.981,1.180
BUFFALO,1996Q2,"$113,784","$84,393","$29,391",25.8%,0.982,1.177
BUFFALO,1996Q3,"$114,223","$84,622","$29,601",25.9%,0.986,1.185
BUFFALO,1996Q4,"$113,922","$84,970","$28,952",25.4%,0.983,1.159
BUFFALO,1997Q1,"$113,188","$85,511","$27,677",24.5%,0.977,1.107
BUFFALO,1997Q2,"$113,070","$86,190","$26,880",23.8%,0.976,1.074
BUFFALO,1997Q3,"$111,744","$86,870","$24,874",22.3%,0.964,0.994
BUFFALO,1997Q4,"$110,682","$87,429","$23,253",21.0%,0.955,0.929
BUFFALO,1998Q1,"$110,199","$87,790","$22,410",20.3%,0.951,0.896
BUFFALO,1998Q2,"$110,502","$87,979","$22,523",20.4%,0.954,0.901
BUFFALO,1998Q3,"$111,045","$88,103","$22,943",20.7%,0.958,0.918
BUFFALO,1998Q4,"$111,409","$88,256","$23,153",20.8%,0.962,0.926
BUFFALO,1999Q1,"$112,340","$88,523","$23,816",21.2%,0.970,0.953
BUFFALO,1999Q2,"$112,353","$88,873","$23,480",20.9%,0.970,0.939
BUFFALO,1999Q3,"$113,173","$89,293","$23,880",21.1%,0.977,0.954
BUFFALO,1999Q4,"$113,541","$89,759","$23,782",20.9%,0.980,0.950
BUFFALO,2000Q1,"$114,430","$90,185","$24,246",21.2%,0.988,0.964
BUFFALO,2000Q2,"$115,860","$90,710","$25,150",21.7%,1.000,1.000
BUFFALO,2000Q3,"$116,613","$91,259","$25,354",21.7%,1.007,1.008
BUFFALO,2000Q4,"$117,301","$91,822","$25,479",21.7%,1.012,1.015
BUFFALO,2001Q1,"$118,039","$92,487","$25,552",21.6%,1.019,1.023
BUFFALO,2001Q2,"$118,888","$93,072","$25,816",21.7%,1.026,1.035
BUFFALO,2001Q3,"$119,981","$93,711","$26,270",21.9%,1.036,1.054
BUFFALO,2001Q4,"$121,266","$94,447","$26,819",22.1%,1.047,1.076
BUFFALO,2002Q1,"$122,382","$95,238","$27,145",22.2%,1.056,1.087
BUFFALO,2002Q2,"$123,719","$96,126","$27,593",22.3%,1.068,1.104
BUFFALO,2002Q3,"$125,307","$96,931","$28,376",22.6%,1.082,1.136
BUFFALO,2002Q4,"$127,074","$97,532","$29,543",23.2%,1.097,1.182
BUFFALO,2003Q1,"$129,246","$97,915","$31,332",24.2%,1.116,1.256
BUFFALO,2003Q2,"$130,061","$98,229","$31,832",24.5%,1.123,1.276
BUFFALO,2003Q3,"$132,132","$98,820","$33,312",25.2%,1.140,1.336
BUFFALO,2003Q4,"$133,994","$99,997","$33,997",25.4%,1.157,1.363
BUFFALO,2004Q1,"$135,488","$101,951","$33,537",24.8%,1.169,1.343
BUFFALO,2004Q2,"$137,329","$104,455","$32,874",23.9%,1.185,1.316
BUFFALO,2004Q3,"$139,583","$107,143","$32,440",23.2%,1.205,1.297
BUFFALO,2004Q4,"$141,014","$109,660","$31,354",22.2%,1.217,1.253
BUFFALO,2005Q1,"$142,472","$111,726","$30,746",21.6%,1.230,1.227
BUFFALO,2005Q2,"$144,073","$113,468","$30,605",21.2%,1.244,1.220
BUFFALO,2005Q3,"$145,380","$115,067","$30,313",20.9%,1.255,1.207
BUFFALO,2005Q4,"$146,928","$116,712","$30,216",20.6%,1.268,1.202
BUFFALO,2006Q1,"$147,934","$118,513","$29,421",19.9%,1.277,1.168
BUFFALO,2006Q2,"$148,754","$120,384","$28,370",19.1%,1.284,1.126
BUFFALO,2006Q3,"$149,072","$122,116","$26,955",18.1%,1.287,1.069
BUFFALO,2006Q4,"$149,138","$123,518","$25,620",17.2%,1.287,1.016
BUFFALO,2007Q1,"$149,900","$124,503","$25,397",16.9%,1.294,1.008
BUFFALO,2007Q2,"$151,481","$125,258","$26,224",17.3%,1.307,1.041
BUFFALO,2007Q3,"$151,541","$126,123","$25,418",16.8%,1.308,1.009
BUFFALO,2007Q4,"$152,014","$127,418","$24,596",16.2%,1.312,0.976
BUFFALO,2008Q1,"$152,838","$129,340","$23,498",15.4%,1.319,0.932
BUFFALO,2008Q2,"$153,890","$131,556","$22,334",14.5%,1.328,0.886
BUFFALO,2008Q3,"$155,139","$133,621","$21,518",13.9%,1.339,0.853
BUFFALO,2008Q4,"$155,288","$135,085","$20,203",13.0%,1.340,0.801
BUFFALO,2009Q1,"$153,935","$135,636","$18,299",11.9%,1.329,0.725
BUFFALO,2009Q2,"$153,600","$135,513","$18,087",11.8%,1.326,0.716
BUFFALO,2009Q3,"$154,794","$135,085","$19,709",12.7%,1.336,0.779
BUFFALO,2009Q4,"$156,695","$134,726","$21,968",14.0%,1.352,0.868
BUFFALO,2010Q1,"$158,671","$134,700","$23,971",15.1%,1.370,0.944
BUFFALO,2010Q2,"$159,573","$135,200","$24,374",15.3%,1.377,0.959
BUFFALO,2010Q3,"$158,157","$136,186","$21,971",13.9%,1.365,0.865
BUFFALO,2010Q4,"$158,257","$137,665","$20,591",13.0%,1.366,0.811
BUFFALO,2011Q1,"$158,998","$139,636","$19,361",12.2%,1.372,0.766
BUFFALO,2011Q2,"$157,325","$141,721","$15,604",9.9%,1.358,0.618
BUFFALO,2011Q3,"$157,277","$143,648","$13,629",8.7%,1.357,0.540
BUFFALO,2011Q4,"$156,801","$145,096","$11,705",7.5%,1.353,0.464
BUFFALO,2012Q1,"$156,986","$145,857","$11,129",7.1%,1.355,0.441
BUFFALO,2012Q2,"$158,385","$146,192","$12,194",7.7%,1.367,0.484
BUFFALO,2012Q3,"$159,269","$146,457","$12,812",8.0%,1.375,0.508
